"redcap_id","recruit_date","source","recruit_int_summ","ps_proj_eligible","screened","sl_status","randomized","complete","rand_proj"
"199",2021-06-23,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"201",2021-06-23,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"204",2021-06-23,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"207",2021-06-24,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"208",2021-06-24,"neighborhood_news","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"209",2021-06-24,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"210",2021-06-24,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"214",2021-06-24,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"215",2021-06-24,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"216",2021-06-24,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"217",2021-06-25,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"218",2021-06-25,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"219",2021-06-25,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"220",2021-06-25,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"223",2021-06-26,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"225",2021-06-26,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"228",2021-06-27,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"230",2021-06-27,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"232",2021-06-27,"neighborhood_news","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"236",2021-06-28,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"238",2021-06-28,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"239",2021-06-28,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"241",2021-06-29,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"242",2021-06-29,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"243",2021-06-29,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"244",2021-06-29,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"245",2021-06-30,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"246",2021-06-29,"neighborhood_news","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"247",2021-06-30,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"250",2021-07-01,"TV","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"252",2021-07-01,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"254",2021-07-01,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"255",2021-07-01,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"257",2021-07-02,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"258",2021-07-02,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"259",2021-07-02,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"260",2021-07-02,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"261",2021-07-02,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"265",2021-07-06,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"266",2021-07-06,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"267",2021-07-06,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"268",2021-07-06,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"271",2021-07-07,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"272",2021-07-08,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"274",2021-07-09,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"275",2021-07-09,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
